Country_Code,Year,Population,Gdp
JAM,1980,2162839.0,
JPN,1980,116807000.0,2642.627
JOR,1980,2377997.0,
KAZ,1980,14796175.0,
KEN,1980,16417203.0,51.728
KIR,1980,59296.0,
KWT,1980,1368680.0,
KGZ,1980,3617400.0,
LAO,1980,3258149.0,
LVA,1980,2511701.0,
LBN,1980,2588928.0,
LSO,1980,1340258.0,
LBR,1980,1852991.0,9.37253
LBY,1980,3219462.0,
LTU,1980,3413202.0,
LUX,1980,364150.0,
MAC,1980,238085.0,
MDG,1980,8716549.0,
MWI,1980,6250434.0,
MYS,1980,13798094.0,104.3912
MDV,1980,158271.0,
MLI,1980,7090124.0,
MLT,1980,316645.0,
MTQ,1980,325448.0,
MRT,1980,1540644.0,6.56487
MUS,1980,966039.0,4.54599
MEX,1980,67761367.0,984.75
FSM,1980,72936.0,
MDA,1980,2728099.0,
MNG,1980,1689622.0,
MNE,1980,572608.0,
MSR,1980,,
MAR,1980,19990006.0,
MOZ,1980,11630194.0,5.9047
NAM,1980,1057723.0,
NRU,1980,7751.0,
NPL,1980,15016408.0,
NLD,1980,14149800.0,410.778
ANT,1980,147997.0,
NCL,1980,140050.0,
NZL,1980,3112900.0,66.82639
NIC,1980,3265520.0,
NER,1980,5989000.0,
NGA,1980,73423646.0,
NIU,1980,,
PRK,1980,17472144.0,
MKD,1980,1924203.0,
MNP,1980,16633.0,
NOR,1980,4085620.0,133.0802
OMN,1980,1154373.0,
PAK,1980,78054346.0,
PSE,1980,,
PAN,1980,1978489.0,
PNG,1980,3571209.0,
PRY,1980,3181627.0,
PER,1980,17547612.0,
PHL,1980,47357741.0,217.96
POL,1980,35574150.0,
PRT,1980,9766312.0,177.6304
PRI,1980,3206000.0,
QAT,1980,223622.0,
REU,1980,509264.0,
ROU,1980,22207282.0,266.9466
RUS,1980,139010000.0,
RWA,1980,5153314.0,
KNA,1980,43201.0,
LCA,1980,117828.0,
SPM,1980,,
VCT,1980,100566.0,
WSM,1980,155522.0,0.47651
STP,1980,95788.0,
SAU,1980,9691471.0,
SEN,1980,5583157.0,
SRB,1980,7362000.0,
SYC,1980,63261.0,
SLE,1980,3388494.0,
SGP,1980,2413945.0,52.6156
SVK,1980,4979815.0,
SVN,1980,1901315.0,
SLB,1980,230550.0,
SOM,1980,6281138.0,
ZAF,1980,28556771.0,350.1582
KOR,1980,38123775.0,203.9762
SSD,1980,4502603.0,
ESP,1980,37491165.0,746.067
LKA,1980,15035840.0,
SDN,1980,14507466.0,
SUR,1980,359531.0,
SWE,1980,8310531.0,223.4587
CHE,1980,6319408.0,294.8215
SYR,1980,8930776.0,
TWN,1980,17682930.0,150.4669
TJK,1980,3905443.0,
TZA,1980,18538263.0,
THA,1980,47374463.0,183.3096
BHS,1980,210589.0,
TLS,1980,599907.0,
TGO,1980,2720835.0,
TON,1980,92966.0,
TTO,1980,1084743.0,
TUN,1980,6374040.0,
TUR,1980,43975972.0,416.0833
TKM,1980,2876809.0,
TCA,1980,7894.0,
TUV,1980,7631.0,
VIR,1980,99636.0,
UGA,1980,12442333.0,
UKR,1980,49965872.0,
ARE,1980,1019507.0,195.733
GBR,1980,56314216.0,1275.974
USA,1980,227225000.0,7080.75
URY,1980,2915389.0,
UZB,1980,15898760.0,
VUT,1980,115598.0,
VEN,1980,15182616.0,279.3891
VNM,1980,54281841.0,
ESH,1980,,
YEM,1980,7941903.0,
ZMB,1980,5851818.0,
ZWE,1980,7408630.0,
AFG,1981,13171679.0,
ALB,1981,2726056.0,
DZA,1981,19824297.0,
ASM,1981,33697.0,
AGO,1981,8640478.0,
ATA,1981,,
ATG,1981,61789.0,
ARG,1981,28338514.0,430.09
ARM,1981,3148096.0,
ABW,1981,60561.0,
AUS,1981,14927000.0,389.0065
AUT,1981,7568710.0,212.2023
AZE,1981,6249312.0,
BHR,1981,374120.0,
BGD,1981,81767516.0,
BRB,1981,253296.0,
BLR,1981,9710000.0,
BEL,1981,9858982.0,268.3881
BLZ,1981,147572.0,
BEN,1981,3820126.0,
BMU,1981,55050.0,
BTN,1981,418107.0,0.619032
BOL,1981,5697098.0,
BIH,1981,4222479.0,
BWA,1981,930412.0,4.28429
BRA,1981,123570327.0,1247.861
VGB,1981,11821.0,
BRN,1981,200027.0,
BGR,1981,8891117.0,66.5823
BFA,1981,6985166.0,
BDI,1981,4266520.0,
CPV,1981,288678.0,
KHM,1981,6749849.0,
CMR,1981,8888534.0,
CAN,1981,24819915.0,717.752
CYM,1981,16857.0,
CAF,1981,2264441.0,
TCD,1981,4612858.0,
CHL,1981,11582020.0,84.993
CHN,1981,993885000.0,719.537
COL,1981,27496608.0,
COM,1981,317617.0,
COG,1981,1830629.0,
COD,1981,27040329.0,
COK,1981,,
CRI,1981,2455593.0,
HRV,1981,4611509.0,
CUB,1981,9898891.0,
CYP,1981,689170.0,
CZE,1981,10300591.0,
CIV,1981,8393689.0,
DNK,1981,5121572.0,150.0078
DJI,1981,374934.0,
DMA,1981,75314.0,
DOM,1981,5935895.0,
ECU,1981,8197648.0,
EGY,1981,44400113.0,
SLV,1981,4666361.0,
GNQ,1981,264370.0,
ERI,1981,1784557.0,
EST,1981,1487666.0,
SWZ,1981,608374.0,
ETH,1981,35984531.0,
FLK,1981,,
FRO,1981,43725.0,
FJI,1981,651032.0,
FIN,1981,4799964.0,117.8351
CSK,1981,,
SCG,1981,,
SUN,1981,,
YUG,1981,,
FRA,1981,55430278.0,1464.594
GUF,1981,,
PYF,1981,157954.0,
GAB,1981,744695.0,
GEO,1981,4504500.0,
DEU,1981,78407907.0,
GHA,1981,11348287.0,
GIB,1981,29902.0,
GRC,1981,9729350.0,215.8013
GRL,1981,51000.0,2.52656
GRD,1981,90610.0,
GLP,1981,336932.0,
GUM,1981,106482.0,
GTM,1981,7071186.0,
GIN,1981,4969595.0,
GNB,1981,793804.0,1.37973
GUY,1981,781734.0,
HTI,1981,5773367.0,
HND,1981,3792922.0,
HKG,1981,5183400.0,92.3483
HUN,1981,10711848.0,
ISL,1981,230755.0,
IND,1981,715384997.0,984.482
IDN,1981,150938222.0,449.049
IRN,1981,40199911.0,
IRQ,1981,14044115.0,
IRL,1981,3453000.0,64.3224
ISR,1981,3956000.0,
ITA,1981,56501675.0,1525.335
JAM,1981,2196921.0,
JPN,1981,117661000.0,2754.923
JOR,1981,2464870.0,
KAZ,1981,14958897.0,
KEN,1981,17063870.0,53.68
KIR,1981,60101.0,
KWT,1981,1439334.0,
KGZ,1981,3685800.0,
LAO,1981,3323353.0,
LVA,1981,2519421.0,
LBN,1981,2594299.0,
LSO,1981,1377808.0,
LBR,1981,1918832.0,9.17227
LBY,1981,3347779.0,
LTU,1981,3432947.0,
LUX,1981,365225.0,
MAC,1981,243373.0,
MDG,1981,8971339.0,
MWI,1981,6412380.0,
MYS,1981,14134060.0,111.6391
MDV,1981,163821.0,
MLI,1981,7234725.0,
MLT,1981,318982.0,
MTQ,1981,326987.0,
MRT,1981,1586496.0,6.79138
MUS,1981,980462.0,4.81341
MEX,1981,69407623.0,1068.837
FSM,1981,75422.0,
MDA,1981,2754609.0,
MNG,1981,1733475.0,
MNE,1981,579445.0,
MSR,1981,,
MAR,1981,20479709.0,
MOZ,1981,11913085.0,6.19993
NAM,1981,1080938.0,
NRU,1981,7871.0,
NPL,1981,15367229.0,
NLD,1981,14247208.0,408.668
ANT,1981,148205.0,
NCL,1981,142650.0,
NZL,1981,3124900.0,69.9377
NIC,1981,3360142.0,
NER,1981,6163711.0,
NGA,1981,75440505.0,278.4565
NIU,1981,,
PRK,1981,17731229.0,
MKD,1981,1941527.0,
MNP,1981,18168.0,
NOR,1981,4099702.0,135.1256
OMN,1981,1220578.0,
PAK,1981,80680461.0,
PSE,1981,,
PAN,1981,2025965.0,
PNG,1981,3668102.0,
PRY,1981,3272922.0,
PER,1981,17985398.0,
PHL,1981,48672831.0,222.4219
POL,1981,35898587.0,
PRT,1981,9851362.0,177.6304
PRI,1981,3242552.0,
QAT,1981,247984.0,
REU,1981,517414.99999999994,
ROU,1981,22353070.0,268.9594
RUS,1981,139941000.0,
RWA,1981,5329250.0,
KNA,1981,42963.0,
LCA,1981,119435.0,
SPM,1981,,
VCT,1981,101439.0,
WSM,1981,156410.0,0.433336
STP,1981,97767.0,
SAU,1981,10311771.0,
SEN,1981,5740441.0,
SRB,1981,7405000.0,
SYC,1981,64035.0,
SLE,1981,3464113.0,
SGP,1981,2532835.0,58.3065
SVK,1981,5016105.0,
SVN,1981,1906531.0,
SLB,1981,238423.0,
SOM,1981,6511115.0,
ZAF,1981,29333095.0,368.9294
KOR,1981,38723248.0,218.7568
SSD,1981,4646478.0,
ESP,1981,37758631.0,745.068
LKA,1981,15272822.0,
SDN,1981,15027254.0,
SUR,1981,360144.0,
SWE,1981,8320503.0,225.0356
CHE,1981,6354074.0,299.5639
SYR,1981,9252854.0,
TWN,1981,18048120.0,161.1501
TJK,1981,4020818.0,
TZA,1981,19120683.0,
THA,1981,48326269.0,194.1344
BHS,1981,215321.0,
TLS,1981,603837.0,
TGO,1981,2812312.0,
TON,1981,93415.0,
TTO,1981,1101983.0,
TUN,1981,6551232.0,
TUR,1981,44988411.0,436.2853
TKM,1981,2947783.0,
TCA,1981,8243.0,
TUV,1981,7825.0,
VIR,1981,99853.0,
UGA,1981,12825084.0,
UKR,1981,50221000.0,
ARE,1981,1096602.0,201.377
GBR,1981,56333829.0,1267.13
USA,1981,229466000.0,7260.45
URY,1981,2934624.0,
UZB,1981,16321692.0,
VUT,1981,118546.0,
VEN,1981,15597878.0,278.3755
VNM,1981,55522804.0,
ESH,1981,,
YEM,1981,8231905.0,
ZMB,1981,6055361.0,
ZWE,1981,7675582.0,
AFG,1982,12882518.0,
ALB,1982,2784278.0,
DZA,1982,20452901.0,
ASM,1982,34969.0,
AGO,1982,8952971.0,
ATA,1982,,
ATG,1982,61780.0,
ARG,1982,28794550.0,416.506
ARM,1982,3193696.0,
ABW,1982,61341.0,
AUS,1982,15178000.0,389.758
AUT,1982,7574140.0,216.2571
AZE,1982,6349555.0,
BHR,1982,385953.0,
BGD,1982,83932132.0,
BRB,1982,254078.0,
BLR,1982,9776000.0,
BEL,1982,9856303.0,269.9461
BLZ,1982,151486.0,
BEN,1982,3927717.0,
BMU,1982,55449.0,
BTN,1982,428938.0,0.640325
BOL,1982,5814344.0,
BIH,1982,4265183.0,
BWA,1982,962859.0,4.8055
BRA,1982,126498322.0,1255.116
VGB,1982,12250.0,
BRN,1982,206064.0,
BGR,1982,8917457.0,68.1335
BFA,1982,7158259.0,
BDI,1982,4379727.0,
CPV,1982,294244.0,
KHM,1982,6919803.0,
CMR,1982,9166813.0,
CAN,1982,25116942.0,694.875
CYM,1982,17436.0,
CAF,1982,2335339.0,
TCD,1982,4718157.0,
CHL,1982,11743909.0,76.1943
CHN,1982,1008630000.0,784.295
COL,1982,28101824.0,
COM,1982,326944.0,
COG,1982,1884873.0,
COD,1982,27717293.0,
COK,1982,,
CRI,1982,2523358.0,
HRV,1982,4634234.0,
CUB,1982,9940314.0,
CYP,1982,691716.0,
CZE,1982,10314826.0,
CIV,1982,8764991.0,
DNK,1982,5117810.0,154.5313
DJI,1982,385268.0,
DMA,1982,75012.0,
DOM,1982,6067769.0,
ECU,1982,8409396.0,
EGY,1982,45539295.0,
SLV,1982,4737256.0,
GNQ,1982,284638.0,
ERI,1982,1836825.0,
EST,1982,1498414.0,
SWZ,1982,629812.0,
ETH,1982,36995246.0,
FLK,1982,,
FRO,1982,44101.0,
FJI,1982,668281.0,
FIN,1982,4826933.0,121.4835
CSK,1982,,
SCG,1982,,
SUN,1982,,
YUG,1982,,
FRA,1982,55718940.0,1499.671
GUF,1982,,
PYF,1982,162679.0,
GAB,1982,763932.0,
GEO,1982,4542800.0,
DEU,1982,78333366.0,
GHA,1982,11676828.0,
GIB,1982,29698.0,
GRC,1982,9789513.0,213.3624
GRL,1982,51500.0,2.41489
GRD,1982,93132.0,
GLP,1982,336612.0,
GUM,1982,108901.0,
GTM,1982,7262658.0,
GIN,1982,5077073.0,
GNB,1982,810402.0,1.43768
GUY,1982,781249.0,
HTI,1982,5910223.0,
HND,1982,3910642.0,
HKG,1982,5264500.0,95.01391
HUN,1982,10705535.0,
ISL,1982,233860.0,
IND,1982,732239498.0,1025.8
IDN,1982,154468235.0,447.236
IRN,1982,41869231.0,
IRQ,1982,14432466.0,
IRL,1982,3485800.0,65.1726
ISR,1982,4031000.0,
ITA,1982,56543548.0,1530.301
JAM,1982,2234062.0,
JPN,1982,118480000.0,2846.733
JOR,1982,2563525.0,
KAZ,1982,15128090.0,
KEN,1982,17736326.0,54.4887
KIR,1982,60887.0,
KWT,1982,1507636.0,
KGZ,1982,3759300.0,
LAO,1982,3401193.0,
LVA,1982,2531080.0,
LBN,1982,2606148.0,
LSO,1982,1415362.0,
LBR,1982,1989477.0,8.94912
LBY,1982,3480443.0,
LTU,1982,3457179.0,
LUX,1982,365525.0,
MAC,1982,251154.0,
MDG,1982,9234137.0,
MWI,1982,6565985.0,
MYS,1982,14471215.0,118.3099
MDV,1982,169849.0,
MLI,1982,7388670.0,
MLT,1982,325898.0,
MTQ,1982,329451.0,
MRT,1982,1633655.0,6.63246
MUS,1982,992521.0,5.07801
MEX,1982,71058650.0,1063.261
FSM,1982,78015.0,
MDA,1982,2782725.0,
MNG,1982,1777727.0,
MNE,1982,587001.0,
MSR,1982,,
MAR,1982,20984023.0,
MOZ,1982,12189817.0,5.77214
NAM,1982,1105103.0,
NRU,1982,8016.0,
NPL,1982,15729431.0,
NLD,1982,14312690.0,403.425
ANT,1982,148808.0,
NCL,1982,145700.0,
NZL,1982,3156100.0,70.5878
NIC,1982,3455129.0,
NER,1982,6343530.0,
NGA,1982,77427539.0,259.5121
NIU,1982,,
PRK,1982,18008568.0,
MKD,1982,1955247.0,
MNP,1982,20163.0,
NOR,1982,4114787.0,135.4316
OMN,1982,1290121.0,
PAK,1982,83431597.0,
PSE,1982,,
PAN,1982,2073748.0,
PNG,1982,3768489.0,
PRY,1982,3368763.0,
PER,1982,18426420.0,
PHL,1982,50023564.0,230.648
POL,1982,36230481.0,
PRT,1982,9911771.0,177.6304
PRI,1982,3277453.0,
QAT,1982,277229.0,
REU,1982,526950.0,
ROU,1982,22475741.0,279.6991
RUS,1982,140823000.0,
RWA,1982,5504847.0,
KNA,1982,42733.0,
LCA,1982,120987.0,
SPM,1982,,
VCT,1982,102255.0,
WSM,1982,157365.0,0.429072
STP,1982,99478.0,
SAU,1982,10988851.0,
SEN,1982,5909734.0,
SRB,1982,7440000.0,
SYC,1982,64413.0,
SLE,1982,3540164.0,
SGP,1982,2646466.0,62.4476
SVK,1982,5055099.0,
SVN,1982,1910334.0,
SLB,1982,246451.0,
SOM,1982,6608040.0,
ZAF,1982,30150448.0,367.5148
KOR,1982,39326352.0,236.9968
SSD,1982,4799435.0,
ESP,1982,37986012.0,754.359
LKA,1982,15501210.0,
SDN,1982,15562129.0,
SUR,1982,360927.0,
SWE,1982,8325263.0,227.8403
CHE,1982,6391309.0,295.255
SYR,1982,9590226.0,
TWN,1982,18395100.0,168.9016
TJK,1982,4140297.0,
TZA,1982,19723317.0,
THA,1982,49255889.0,204.5276
BHS,1982,220182.0,
TLS,1982,613233.0,
TGO,1982,2915618.0,
TON,1982,93636.0,
TTO,1982,1120019.0,
TUN,1982,6740520.0,
TUR,1982,46025411.0,451.829
TKM,1982,3019064.0,
TCA,1982,8654.0,
TUV,1982,7951.0,
VIR,1982,100068.0,
UGA,1982,13221991.0,
UKR,1982,50384000.0,
ARE,1982,1164816.0,184.625
GBR,1982,56313641.0,1292.103
USA,1982,231664000.0,7129.56
URY,1982,2953852.0,
UZB,1982,16747428.0,
VUT,1982,121398.0,
VEN,1982,16017570.0,272.6103
VNM,1982,56814309.0,
ESH,1982,,
YEM,1982,8541605.0,
ZMB,1982,6265869.0,
ZWE,1982,7958239.0,
AFG,1983,12537732.0,
ALB,1983,2843960.0,
DZA,1983,21101875.0,
ASM,1983,36413.0,
AGO,1983,9278104.0,
ATA,1983,,
ATG,1983,61779.0,
ARG,1983,29262049.0,433.632
ARM,1983,3238592.0,
ABW,1983,62213.0,
AUS,1983,15369000.0,387.2328
AUT,1983,7561910.0,222.1881
AZE,1983,6452067.0,
BHR,1983,396451.0,
BGD,1983,86142490.0,
BRB,1983,254791.0,
BLR,1983,9843000.0,
BEL,1983,9855520.0,271.0187
BLZ,1983,155820.0,
BEN,1983,4039940.0,
BMU,1983,55930.0,
BTN,1983,439823.0,0.707118
BOL,1983,5932812.0,
BIH,1983,4307907.0,
BWA,1983,996124.0,5.43727
BRA,1983,129448815.0,1212.396
VGB,1983,12755.0,
BRN,1983,212073.0,
BGR,1983,8939738.0,70.4752
BFA,1983,7340910.0,
BDI,1983,4497544.0,
CPV,1983,300226.0,
KHM,1983,7170004.0,
CMR,1983,9456496.0,
CAN,1983,25366451.0,712.952
CYM,1983,18005.0,
CAF,1983,2408322.0,
TCD,1983,4832316.0,
CHL,1983,11907955.0,73.3403
CHN,1983,1023310000.0,869.0
COL,1983,28714183.0,
COM,1983,336088.0,
COG,1983,1940454.0,
COD,1983,28403858.0,
COK,1983,,
CRI,1983,2593015.0,
HRV,1983,4658254.0,
CUB,1983,9981303.0,
CYP,1983,694076.0,
CZE,1983,10323856.0,
CIV,1983,9144940.0,
DNK,1983,5114297.0,158.4215
DJI,1983,393800.0,
DMA,1983,74484.0,
DOM,1983,6199657.0,
ECU,1983,8624594.0,
EGY,1983,46728284.0,
SLV,1983,4804936.0,
GNQ,1983,308208.0,
ERI,1983,1890556.0,
EST,1983,1508745.0,
SWZ,1983,652112.0,
ETH,1983,38142679.0,
FLK,1983,,
FRO,1983,44483.0,
FJI,1983,685497.0,
FIN,1983,4855787.0,125.2114
CSK,1983,,
SCG,1983,,
SUN,1983,,
YUG,1983,,
FRA,1983,56023775.0,1519.26
GUF,1983,,
PYF,1983,167456.0,
GAB,1983,784056.0,
GEO,1983,4582900.0,
DEU,1983,78128282.0,
GHA,1983,12033559.0,
GIB,1983,29481.0,
GRC,1983,9846627.0,211.0618
GRL,1983,52100.0,2.49838
GRD,1983,96020.0,
GLP,1983,336677.0,
GUM,1983,111403.0,
GTM,1983,7462585.0,
GIN,1983,5195443.0,
GNB,1983,830212.0,1.38882
GUY,1983,778953.0,
HTI,1983,6051617.0,
HND,1983,4031333.0,
HKG,1983,5345100.0,100.7288
HUN,1983,10689463.0,
ISL,1983,236977.0,
IND,1983,749428958.0,1089.97
IDN,1983,158009248.0,486.922
IRN,1983,43636838.0,
IRQ,1983,14815653.0,
IRL,1983,3510600.0,65.2571
ISR,1983,4105000.0,
ITA,1983,56564074.0,1551.205
JAM,1983,2271735.0,
JPN,1983,119307000.0,2946.68
JOR,1983,2671413.0,
KAZ,1983,15303316.0,
KEN,1983,18431760.0,55.2021
KIR,1983,61736.0,
KWT,1983,1576975.0,
KGZ,1983,3838300.0,
LAO,1983,3489910.0,
LVA,1983,2546011.0,
LBN,1983,2622072.0,
LSO,1983,1452727.0,
LBR,1983,2057232.0,8.77938
LBY,1983,3614682.0,
LTU,1983,3485192.0,
LUX,1983,365622.0,
MAC,1983,260921.0,
MDG,1983,9504283.0,
MWI,1983,6737924.0,
MYS,1983,14819430.0,125.668
MDV,1983,176255.0,
MLI,1983,7545163.0,
MLT,1983,330524.0,
MTQ,1983,332601.0,
MRT,1983,1681859.0,6.88021
MUS,1983,1001691.0,5.09751
MEX,1983,72709306.0,1026.112
FSM,1983,80630.0,
MDA,1983,2811645.0,
MNG,1983,1823214.0,
MNE,1983,594506.0,
MSR,1983,,
MAR,1983,21495088.0,
MOZ,1983,12439773.0,4.86591
NAM,1983,1131624.0,
NRU,1983,8163.0,
NPL,1983,16100623.0,
NLD,1983,14367070.0,410.518
ANT,1983,149587.0,
NCL,1983,148700.0,
NZL,1983,3199300.0,73.0525
NIC,1983,3549711.0,
NER,1983,6528646.0,
NGA,1983,79414841.0,231.1627
NIU,1983,,
PRK,1983,18298212.0,
MKD,1983,1965892.0,
MNP,1983,22622.0,
NOR,1983,4128432.0,140.4325
OMN,1983,1361085.0,
PAK,1983,86285936.0,
PSE,1983,,
PAN,1983,2121863.0,
PNG,1983,3871490.0,
PRY,1983,3468533.0,
PER,1983,18870988.0,
PHL,1983,51408910.0,235.0235
POL,1983,36571808.0,
PRT,1983,9957865.0,177.6304
PRI,1983,3311138.0,
QAT,1983,309299.0,
REU,1983,537401.0,
ROU,1983,22560478.0,296.7558
RUS,1983,141668000.0,
RWA,1983,5690989.0,
KNA,1983,42477.0,
LCA,1983,122571.0,
SPM,1983,,
VCT,1983,103035.0,
WSM,1983,158345.0,0.431204
STP,1983,101064.0,
SAU,1983,11701132.0,
SEN,1983,6089567.0,
SRB,1983,7468000.0,
SYC,1983,64335.0,
SLE,1983,3619854.0,
SGP,1983,2681061.0,67.78959
SVK,1983,5091971.0,
SVN,1983,1922321.0,
SLB,1983,254566.0,
SOM,1983,6618594.0,
ZAF,1983,30993762.0,360.7285
KOR,1983,39910403.0,268.6981
SSD,1983,4953154.0,
ESP,1983,38171525.0,767.708
LKA,1983,15724641.0,
SDN,1983,16107613.0,
SUR,1983,362282.0,
SWE,1983,8329033.0,232.4601
CHE,1983,6418773.0,296.9279
SYR,1983,9938852.0,
TWN,1983,18687480.0,184.1421
TJK,1983,4265278.0,
TZA,1983,20344550.0,
THA,1983,50173922.0,215.9494
BHS,1983,225095.0,
TLS,1983,626677.0,
TGO,1983,3026980.0,
TON,1983,93736.0,
TTO,1983,1138071.0,
TUN,1983,6937332.0,
TUR,1983,47073470.0,474.2806
TKM,1983,3091510.0,
TCA,1983,9096.0,
TUV,1983,8041.0,
VIR,1983,100348.0,
UGA,1983,13638729.0,
UKR,1983,50564000.0,
ARE,1983,1228457.0,179.814
GBR,1983,56332848.0,1346.347
USA,1983,233792000.0,7456.38
URY,1983,2973048.0,
UZB,1983,17177663.0,
VUT,1983,124213.0,
VEN,1983,16443128.0,266.7439
VNM,1983,58148384.0,
ESH,1983,,
YEM,1983,8869363.0,
ZMB,1983,6481907.0,
ZWE,1983,8254746.0,
AFG,1984,12204306.0,
ALB,1984,2904429.0,
DZA,1984,21763578.0,
ASM,1984,37946.0,
AGO,1984,9614756.0,
ATA,1984,,
ATG,1984,61784.0,
ARG,1984,29737097.0,442.301
ARM,1984,3285593.0,
ABW,1984,62826.0,
AUS,1984,15544000.0,413.144
AUT,1984,7561434.0,223.0286
AZE,1984,6557581.0,
BHR,1984,407233.0,
BGD,1984,88416529.0,
BRB,1984,255493.0,
BLR,1984,9910000.0,
BEL,1984,9855372.0,276.7159
BLZ,1984,160341.0,
BEN,1984,4156819.0,
BMU,1984,56423.0,
BTN,1984,451471.0,0.739339
BOL,1984,6054126.0,
BIH,1984,4350566.0,
BWA,1984,1031439.0,5.90191
BRA,1984,132383569.0,1277.491
VGB,1984,13317.0,
BRN,1984,218176.0,
BGR,1984,8960679.0,72.8635
BFA,1984,7531239.0,
BDI,1984,4621096.0,
CPV,1984,306140.0,
KHM,1984,7447844.0,
CMR,1984,9757849.0,
CAN,1984,25607053.0,755.076
CYM,1984,18662.0,
CAF,1984,2478382.0,
TCD,1984,4957561.0,
CHL,1984,12078137.0,79.2114
CHN,1984,1036825000.0,1001.087
COL,1984,29331230.0,
COM,1984,345455.0,
COG,1984,1996994.0,
COD,1984,29119663.0,
COK,1984,,
CRI,1984,2664220.0,
HRV,1984,4680285.0,
CUB,1984,10031651.0,
CYP,1984,697715.0,
CZE,1984,10330213.0,
CIV,1984,9530103.0,
DNK,1984,5111619.0,165.3783
DJI,1984,406018.0,
DMA,1984,73846.0,
DOM,1984,6331760.0,
ECU,1984,8843463.0,
EGY,1984,47968643.0,
SLV,1984,4871041.0,
GNQ,1984,331554.0,
ERI,1984,1946299.0,
EST,1984,1518617.0,
SWZ,1984,675240.0,
ETH,1984,39374346.0,
FLK,1984,,
FRO,1984,44895.0,
FJI,1984,700478.0,
FIN,1984,4881803.0,128.9524
CSK,1984,,
SCG,1984,,
SUN,1984,,
YUG,1984,,
FRA,1984,56337675.0,1544.728
GUF,1984,,
PYF,1984,172249.0,
GAB,1984,805117.0,
GEO,1984,4622200.0,
DEU,1984,77858685.0,
GHA,1984,12405659.0,
GIB,1984,29284.0,
GRC,1984,9895801.0,215.297
GRL,1984,52700.0,2.36897
GRD,1984,98472.0,
GLP,1984,338430.0,
GUM,1984,113953.0,
GTM,1984,7669863.0,
GIN,1984,5326369.0,
GNB,1984,851276.0,1.51533
GUY,1984,775217.0,
HTI,1984,6194686.0,
HND,1984,4154864.0,
HKG,1984,5397900.0,110.804
HUN,1984,10668095.0,
ISL,1984,239511.0,
IND,1984,766833411.0,1139.54
IDN,1984,161523353.0,523.802
IRN,1984,45472792.0,
IRQ,1984,15190396.0,
IRL,1984,3532423.0,67.6662
ISR,1984,4159000.0,
